Date,Name substring,Email split,Number Pow,Grade equal
2016-01-24,Barbara Zavala,ginaglover@example.net,280,A
2013-07-05,Heidi Fernandez,lindsey78@example.net,349,A
2012-05-14,Lindsey Keller,jasonschmidt@example.net,497,C
2012-01-20,Elizabeth King,christopher31@example.net,302,B
2016-09-14,Michael Skinner,kfarrell@example.org,181,B
2020-05-06,Sarah Higgins,kayleeturner@example.com,607,D
2011-02-24,Edwin Torres,alexisbraun@example.org,99,D
2010-06-03,Martin Gordon,stephen27@example.net,700,B
2020-08-24,Donna Lewis,millerwayne@example.net,993,D
2014-04-05,Bradley Fowler,ndelgado@example.net,116,B
2015-07-28,Kimberly Miller,karen78@example.org,191,C
2020-07-15,Evelyn Hendrix,jasonshepard@example.org,253,B
2010-11-09,Brianna Chen,fvalentine@example.com,981,D
2011-05-24,Kyle Adams,angela71@example.com,928,D
2014-06-16,Wendy Miller,edwardreyes@example.org,983,D
2019-11-12,Diana Nguyen,thompsonstephanie@example.net,161,C
2016-08-13,David Peterson,bennettkathryn@example.com,256,C
2012-12-03,Chad Hill,ellisjerry@example.net,323,C
2010-06-10,Christopher Arellano,caseywilliam@example.org,128,D
2018-11-01,James Gould,john48@example.net,18,C
2012-04-21,Derek Cox,kristinwade@example.org,793,D
2014-10-16,David Buck,tammyayers@example.org,735,C
2019-04-24,Holly Li,brodriguez@example.org,566,D
2013-09-22,Joseph Floyd,beardjohn@example.com,570,C
2016-02-24,Kimberly Carter,jacksonnorman@example.org,323,B
2017-04-30,Jonathon Bishop DVM,gdunlap@example.org,872,D
2021-12-24,Christopher Owens,christophergarcia@example.org,686,B
2020-01-20,Erin Glass,fordteresa@example.org,792,B
2014-07-29,Karen Johnson,margaretdixon@example.org,626,A
2015-04-05,Jesse Montgomery,patricia30@example.net,288,B
2018-08-09,Virginia Green,davidbradford@example.org,943,B
2015-04-29,Peter Pratt,chendricks@example.net,854,D
2014-09-27,Kristopher Walker,morganjames@example.org,663,B
2018-04-30,Angela Meadows,aaronjones@example.org,962,A
2018-05-03,Alice Graham,toni44@example.com,639,B
2022-08-14,Jose Cameron,rodriguezkatherine@example.net,155,D
2020-08-20,Tara Jones PhD,davilajohn@example.net,490,B
2014-08-19,Jeanette Mccoy,wardjenny@example.com,386,C
2014-10-03,Rachel Carr,jenniferperez@example.net,986,C
2019-04-22,Suzanne Miller,olivia49@example.org,785,A
2018-12-31,Trevor Nguyen,mweber@example.net,104,D
2011-07-08,Molly Blake,campbellmarilyn@example.org,929,B
2017-08-29,Linda Chapman,sandragray@example.org,393,A
2021-11-25,Connor Chavez,deannawilliams@example.net,811,D
2012-11-21,Kelly Wiggins,vali@example.org,246,B
2022-07-23,Daniel Lee,oconnorcolleen@example.net,176,D
2021-12-31,Marissa Sullivan,rlawson@example.org,39,B
2018-03-08,Rachel Fuentes,jamesspencer@example.net,477,B
2010-10-28,Jennifer May,james82@example.org,682,A
2018-05-27,Michael Chang,okennedy@example.com,759,C
2016-07-16,Kevin Castillo,gomezkelly@example.com,538,A
2011-08-11,Dr. Christopher Randall,amymartin@example.org,867,C
2010-09-07,Lauren Bryant,parkercosta@example.net,818,C
2020-01-25,Claudia Williams MD,lucerotodd@example.net,921,C
2010-02-26,Tony Kerr,berryronald@example.org,408,D
2012-08-29,Matthew Butler,nicole95@example.net,525,D
2022-10-22,Madison Williams,rellison@example.net,828,B
2020-11-04,Mrs. Brandy Young,melissarowland@example.com,506,D
2022-04-14,Melissa Graves,wfisher@example.com,903,B
2015-07-28,Amy Knight,klee@example.com,825,B
2021-02-15,Kerry Contreras,mayojudith@example.org,36,B
2020-05-14,Karla Williams,mooneycynthia@example.net,685,A
2019-08-17,Amanda Simmons,gregory90@example.net,20,B
2013-03-08,Crystal Herrera,knguyen@example.net,321,A
2013-05-19,Alan Thompson,gregory23@example.net,776,C
2013-04-07,Margaret Jensen,esparzamichael@example.net,512,B
2017-11-26,Katie Hall,graycrystal@example.com,400,C
2012-02-11,Amanda Skinner,rachelnguyen@example.org,654,C
2021-12-24,Adam Price,garytaylor@example.net,972,D
2010-06-12,Tony Mosley,rjones@example.org,883,A
2012-09-23,Anna Smith,vasquezthomas@example.net,471,D
2013-07-06,Nancy Leon,paulaalvarez@example.net,143,C
2020-10-24,Amanda Martinez,barrymay@example.org,92,A
2018-07-30,Mary Howell,sheilalove@example.org,354,D
2018-11-16,Stephanie Anderson,matthew70@example.net,834,C
2016-10-14,Jessica Hebert,matthew46@example.com,800,B
2020-12-19,Christina Freeman,edavis@example.com,727,B
2014-12-16,Rebecca Patterson,elizabeth61@example.com,959,B
2016-11-13,Nicholas Solis,bbrown@example.net,854,C
2022-10-21,Deborah Graves,andrea84@example.org,51,C
2016-05-29,Julie Jones MD,emily59@example.com,665,C
2019-07-08,Katie Schneider,ashleysolis@example.com,698,D
2013-07-25,Brenda Copeland,robertscatherine@example.org,575,A
2016-11-11,Ricky Meyer,adamskirsten@example.com,190,A
2018-02-11,Heather Lewis,meyerjeremy@example.com,125,C
2013-03-09,Thomas Smith,andersonjennifer@example.net,150,B
2012-04-19,Daniel Diaz,ylucas@example.org,314,D
2021-09-30,Abigail Thompson,hbenitez@example.org,570,C
2014-08-28,Lisa Irwin,mpatel@example.com,342,D
2013-10-09,Cynthia Vazquez,leebradley@example.net,305,B
2015-02-04,Michael Walker,alex81@example.net,692,B
2012-01-09,Julie Scott,conniestrong@example.net,682,A
2017-01-21,Susan Mccarthy,christopher91@example.net,838,C
2018-06-17,Cody Wood,david16@example.com,783,D
2020-01-30,Stacey Jenkins,dannyhartman@example.org,54,C
2012-04-24,Katrina Smith,ghudson@example.org,444,A
2022-08-07,Amy Cain,stevenholt@example.org,613,D
2018-06-23,Mark Blair MD,colemanerica@example.net,993,A
2017-10-02,William Haas,loganeric@example.net,264,A
2012-10-07,Kevin Cain,ggallagher@example.net,53,D
2021-11-14,David Key,zaguirre@example.org,572,A
2019-05-21,Julian Trujillo,fbishop@example.org,620,D
2014-02-19,Denise Morrison,martinezkenneth@example.com,5,C
2010-08-24,Annette Evans,edwardmorgan@example.net,103,C
2011-12-22,Amanda Foster,hernandezjared@example.net,196,C
2012-09-02,Dana Stone,davisjames@example.org,774,D
2010-01-03,Jared Martinez,xmartinez@example.net,877,C
2011-01-26,Richard Johnson,greeneangela@example.net,992,D
2018-12-08,Jason Kelley,christopher30@example.net,884,B
2021-06-12,Emily Oconnor,richard29@example.net,350,C
2013-06-30,Ricky Munoz,donna39@example.org,47,C
2022-07-29,Stephen Brandt,wanderson@example.com,867,C
2013-04-06,Arthur Walsh,kristinhopkins@example.net,823,C
2012-04-13,Jacqueline Carter,cunninghamandrew@example.net,936,B
2021-02-02,Gabrielle Reyes,jerrycooke@example.com,820,D
2018-10-15,Anthony Sanchez,devinadams@example.com,656,B
2010-11-12,John Spencer,erica79@example.com,269,D
2021-01-11,John Scott,kellygray@example.org,370,A
2012-03-13,Stephanie Duran,williamgreen@example.net,636,C
2020-08-15,Kimberly Meyer,michael60@example.com,106,B
2022-10-30,Mark Doyle,alan89@example.org,670,A
2016-08-06,Chad Clark,morrisonmegan@example.net,659,B
2016-11-23,Catherine Lopez,pgillespie@example.net,657,D
2011-06-12,Ronald Thompson,david01@example.net,120,D
2015-03-22,James Thomas,tiffanyharris@example.com,831,C
2018-08-25,Mathew Ramos,dunndonna@example.com,787,A
2020-09-29,Christopher Evans,baldwinbradley@example.com,604,A
2018-07-27,Anna Gray,leahthornton@example.com,58,D
2013-01-23,Erika Martin,uneal@example.org,951,A
2019-01-27,Patricia Carrillo,garciaann@example.org,346,C
2013-07-10,Alicia Watson,burnskevin@example.com,741,D
2017-03-29,Zachary Willis,qnelson@example.org,474,C
2019-06-29,Ryan Lawson,qpacheco@example.net,117,D
2021-10-26,Maurice Burton,melissasalazar@example.com,830,D
2014-08-07,Terry Mendoza,stephen01@example.com,791,D
2012-01-15,Alyssa Valenzuela,melissa78@example.com,127,D
2018-04-21,Carly Allen,cprince@example.org,393,A
2016-07-05,Jordan Lopez,alvaradocatherine@example.net,908,D
2022-10-05,Aaron Harper,david11@example.org,641,A
2020-03-11,Lisa Martinez,howardrichards@example.org,58,A
2014-12-01,Nathan George,kimberlyhamilton@example.org,634,B
2013-04-27,Christine Turner,jensenjohn@example.com,513,D
2022-03-18,John Davis,glendawolfe@example.net,751,D
2018-02-12,Lisa Robinson,troy11@example.net,802,B
2018-03-06,Keith Craig,dorothycampos@example.com,96,B
2012-07-27,Chad Rosario,crystal52@example.net,638,C
2016-09-01,Jacqueline Evans,kyleparker@example.net,118,D
2019-08-05,Joel Cervantes,robert16@example.net,560,C
2019-10-13,Abigail Hansen,jessewest@example.org,601,A
2018-01-30,Chris Davis,carrollmichelle@example.com,488,C
2018-06-16,Jessica Jones,danielle01@example.net,237,B
2022-07-28,John Mason,joyrubio@example.org,885,B
2017-01-10,David Ramsey,yclark@example.com,897,A
2013-01-22,Debra Oconnell,davisdonald@example.com,272,C
2021-12-30,Miguel Ross,adambarr@example.net,189,B
2018-03-07,Jacob Hansen,christina80@example.org,999,C
2012-08-11,Pamela Dillon,zromero@example.net,704,D
2018-12-22,Anthony Morris,brianlee@example.com,447,D
2020-07-19,Gary Davis,kennethvillanueva@example.org,581,A
2014-10-15,Sabrina Allen,victormiller@example.org,790,C
2011-10-31,Mrs. Audrey Romero DDS,rodriguezlaura@example.net,861,A
2017-06-06,Andre Jenkins,theresatucker@example.net,247,A
2011-09-04,James Moore,kimberlycole@example.net,963,D
2011-03-17,Catherine Bennett,summerramirez@example.org,76,A
2018-12-07,Anthony Bullock,frogers@example.org,154,B
2018-09-24,Tony Dorsey,lowens@example.com,656,C
2015-08-19,Chelsey Patrick,egonzales@example.org,435,C
2022-11-01,Taylor Rose,phillipsjessica@example.net,997,A
2021-06-14,Jorge Lowery,meghan66@example.org,86,A
2018-08-26,Daisy Mejia,christophermurphy@example.net,697,C
2018-04-12,Bruce Brown,john92@example.org,285,D
2015-08-17,Marc Gillespie,porterjeffrey@example.org,974,A
2020-02-29,Mr. Robert Ferrell,petersonjonathan@example.net,220,B
2015-11-28,Alicia Hansen,stewartcody@example.net,69,D
2018-12-24,Russell Barton,loweangela@example.com,47,B
2021-05-16,Leslie Smith,dale83@example.net,94,C
2022-11-12,Jeffrey Watkins,patrickbarrett@example.org,750,D
2017-07-09,Michelle Mckenzie,sheltonjeremy@example.net,958,A
2020-10-09,William Rivas,knightsarah@example.com,453,D
2022-08-23,Charlene Roberson,patrick68@example.org,204,A
2020-01-18,David Schwartz,jamiemeyer@example.net,912,B
2015-07-14,Christopher Hunt,williamsandrew@example.org,218,C
2022-07-14,Victor Campos,carternatasha@example.net,474,D
2022-02-06,Randy Stewart,jessica28@example.com,432,B
2012-07-02,Brad Cook,kjones@example.net,341,C
2012-01-03,Jeffrey Lopez,kristina43@example.net,551,D
2015-05-05,Joseph Adams,ramirezroberto@example.com,612,D
2022-03-06,Dana Martinez,heatherjohnson@example.com,289,A
2012-08-28,James Sellers,todd95@example.net,254,A
2019-01-16,Catherine Singleton,williamsmelissa@example.com,734,D
2021-09-10,James Wolfe,danieljackson@example.com,357,D
2022-10-16,Christina Finley,andrea53@example.net,23,C
2016-09-21,Robert Goodman,jenniferwhite@example.net,762,C
2015-06-24,Kayla Hudson,wrightkimberly@example.net,522,C
2016-09-14,Michael Perez,garzaanthony@example.com,758,A
2022-02-19,Matthew Webster,yholt@example.net,837,B
2021-05-06,John Silva,bperry@example.org,100,C
2018-07-16,Donald Johnson,vporter@example.net,802,D
2019-12-21,Michele Robbins,rayamber@example.com,180,A
2022-11-29,Kenneth Oliver,nthomas@example.net,223,C
2012-05-29,Andrew Guerra,hali@example.net,906,A
2019-11-22,Carla Davidson,willismatthew@example.com,762,C
2016-09-10,Dustin Mullins,jlopez@example.net,659,D
2012-06-28,Denise Rojas,adam46@example.com,442,D
2017-09-23,James Collins,charles28@example.com,608,B
2016-04-07,Linda Potter,powersdavid@example.net,769,B
2021-04-10,Lisa Ford,vgonzalez@example.org,325,D
2019-03-12,Dana Stevens,dylan62@example.net,516,B
2022-05-17,Mr. Gary Shields,ashleypierce@example.net,16,C
2022-07-22,Rebecca Anderson,johnballard@example.org,792,C
2020-10-11,Connie Collier,armstrongtravis@example.org,336,D
2010-08-12,David Marshall,mbrown@example.org,759,A
2015-05-03,Stephen Osborne,edwardschultz@example.net,258,A
2017-06-13,Robert Crawford,johnsonandrew@example.org,497,C
2015-01-07,Melissa Luna,kevinrobinson@example.net,988,A
2021-09-22,Sydney Bryan,dylanrowe@example.net,896,D
2019-09-09,Michael Brown,patriciastanley@example.com,160,B
2019-12-22,Roberto Weber,iramirez@example.net,475,B
2015-05-17,Teresa Woodward,ayerssamantha@example.net,852,C
2013-11-15,Dr. Isaac Sullivan,johnbarr@example.com,664,A
2010-06-04,Vernon Smith,kellydaniel@example.org,908,B
2013-10-15,Sheryl Jefferson,lstephens@example.com,690,A
2013-01-26,Mrs. Tonya Nguyen DDS,annetteschultz@example.com,675,A
2012-12-20,Leslie Perez,rbush@example.com,380,D
2019-03-08,Alexander Herrera,heather30@example.org,545,B
2015-11-06,Christopher Holland,chengabrielle@example.com,929,D
2019-12-09,Cindy Williams,thorton@example.com,957,C
2012-01-24,Jennifer Hernandez,mcintoshteresa@example.org,691,D
2014-08-03,Darrell White,qstewart@example.org,427,C
2015-06-30,Gina Lee,stanleylee@example.net,613,C
2010-12-23,Robert Medina,zmarsh@example.org,268,D
2022-06-20,Bill Hill,vmaynard@example.org,835,D
2014-11-13,Adrienne Marshall,manningjennifer@example.com,577,A
2020-01-31,Joshua Dickson,cynthiabernard@example.org,417,B
2010-10-13,April Bowman,paulrobinson@example.net,168,D
2020-06-15,Dr. Kenneth Romero,andrearamirez@example.com,842,C
2014-03-26,Jeffrey Hopkins,richard73@example.org,43,A
2019-01-22,Melissa Kaiser,gscott@example.com,556,D
2011-09-10,Megan Smith,isaacerickson@example.org,285,D
2013-10-16,Melissa Martinez,michael14@example.org,397,B
2015-05-25,Angela Johnson,ilara@example.com,12,C
2015-12-30,John Allen,aforbes@example.com,607,C
2013-10-29,Reginald Cooper,anthony06@example.org,302,D
2013-11-04,Chad Monroe,lori37@example.com,898,B
2011-06-02,Melinda Hill,adammcfarland@example.net,253,B
2010-07-12,Chad Marshall,troy@example.org,499,C
2018-04-20,Pamela Norman,srose@example.org,754,A
2017-12-03,Stephanie Jordan,jamiegreen@example.org,35,B
2021-06-08,Lisa Holder,nreyes@example.com,727,A
2019-03-08,Douglas Poole,jgallegos@example.net,849,A
2011-05-17,Gerald Fitzpatrick,qcunningham@example.org,90,A
2011-08-30,Benjamin Warner,rjohnson@example.com,776,D
2011-10-18,Cindy Bryan,reidstephanie@example.net,605,D
2014-07-04,Roberto Rodriguez,marcgriffin@example.org,922,B
2021-07-12,Ronnie Fitzgerald,millerjill@example.org,970,B
2022-05-07,Ashley Trujillo,nathaniel67@example.com,602,A
2015-03-19,Lisa Porter,zholder@example.org,418,B
2018-07-24,Teresa Chandler,shawn88@example.org,115,C
2017-07-17,Bradley King,patelsusan@example.net,617,A
2022-09-29,Darren Miller,dawn73@example.net,903,B
2018-07-07,Jennifer Brown,tjames@example.net,196,C
2014-08-18,Stephanie Sullivan,ozimmerman@example.net,826,C
2013-07-15,William Fernandez,blackwellanthony@example.org,501,C
2014-07-10,Crystal Smith,yharris@example.net,626,D
2013-02-27,Robert Glass,sean08@example.com,493,D
2020-05-16,Sharon Parsons,xochoa@example.com,75,A
2013-05-19,Susan Perez,cory95@example.com,413,B
2011-05-28,David Powell,wandamclean@example.com,376,C
2018-04-01,Julia Chen,eparker@example.net,420,C
2012-06-27,Mathew Boyle,castrosamuel@example.org,729,C
2017-07-23,Toni Jones,schmittryan@example.com,277,A
2011-04-28,Tabitha Hurst,zwebb@example.com,761,A
2012-03-07,James Foster,schmidtraven@example.com,676,D
2022-01-23,Derrick Barton,hintonsteven@example.org,394,D
2018-10-28,Kevin Navarro,hperkins@example.com,869,A
2011-11-10,Tanya Harvey,gileskathryn@example.org,457,A
2021-08-25,Glen West,palmerangela@example.org,920,A
2012-09-25,John Williams,sherrera@example.net,192,B
2016-02-19,Matthew Bishop,rachel02@example.com,739,D
2021-03-20,Sandra Richardson,tiffany73@example.com,689,B
2021-06-07,Susan Porter,lwilson@example.org,99,B
2020-07-31,Shelby Anthony,sullivanashley@example.com,548,C
2021-05-26,Sarah Ramirez,alan07@example.org,978,A
2017-12-29,Hannah White,ugreen@example.com,999,C
2013-05-28,Shelly Dunn,jamesedwards@example.com,96,A
2015-10-15,Cynthia Ferguson,marchines@example.com,664,D
2022-10-22,James Watkins,thomas78@example.org,663,C
2012-08-12,Richard Sanchez,alexandergardner@example.com,190,A
2017-08-01,Kim Ruiz,andersonzachary@example.org,736,C
2021-01-15,Steven Gibson,alexandermichael@example.com,37,D
2020-06-14,Michael Rose,lloydamy@example.com,780,B
2012-01-02,Calvin Anderson,phurst@example.org,369,C
2016-06-16,Frank Smith,andres87@example.net,695,A
2012-06-01,Kathy Perez,tmorris@example.com,525,D
2016-06-10,Jane West,jamesingram@example.net,279,D
2011-05-04,Elizabeth Jones,williamhoover@example.com,217,D
2022-01-16,Todd Hanson,cervantesvalerie@example.org,867,D
2010-08-05,Emily Nelson,paula46@example.org,873,C
2016-03-19,Debra Cunningham,charlesnewman@example.org,798,D
2012-04-02,Susan Carson,heather01@example.com,273,C
2011-11-13,Christopher Burke,jesse04@example.org,881,C
2017-12-25,John Sanchez,angelasantiago@example.com,62,B
2015-08-17,Nicholas Vasquez,jacksondaniel@example.net,596,B
2015-05-01,Lauren Campos DVM,edward52@example.net,880,A
2019-02-01,Jennifer Davila,henryalexandra@example.com,729,B
2012-12-01,Joel Sosa,mcdonaldamy@example.org,342,A
2018-03-31,Heidi Morton,meghan37@example.com,397,D
2020-03-08,Maria Sweeney,jessica07@example.com,699,A
2012-04-23,Christy Rodriguez,cristiansims@example.com,19,D
2010-06-25,Angel Calderon,angela07@example.net,177,A
2019-07-26,Christina Jensen,smithderrick@example.net,612,D
2022-09-12,Allen Smith,williamsholly@example.net,396,B
2012-03-16,Kimberly Kennedy,micheal48@example.com,445,B
2019-11-20,Mary Berry,jbradford@example.net,233,A
2014-04-25,Sharon Young,pjenkins@example.com,915,C
2014-03-29,Gina Foley,daniel29@example.com,76,B
2013-05-08,Debbie Williams,davidsondonna@example.net,265,D
2013-02-14,Jose Miller,jamesjackson@example.org,455,C
2022-11-30,Jennifer Taylor,charlesjack@example.com,796,D
2017-01-29,Sandra Marshall MD,hollythornton@example.com,718,A
2022-01-17,Erik Chavez MD,debra53@example.net,735,D
2011-05-09,Cheyenne Ortiz,eric96@example.org,384,B
2014-01-05,Walter Casey,nathaniel35@example.net,564,C
2018-04-17,Zachary Johnson,bbush@example.net,851,C
2017-04-17,Frederick Avila,shannonhancock@example.net,506,C
2018-12-06,Patrick Krueger,jonathangreen@example.org,367,C
2022-08-10,Richard Contreras,stephanie59@example.com,144,C
2016-05-30,Brittany Davis,garrett90@example.org,885,C
2014-11-13,Jason Nguyen,eddievincent@example.org,69,B
2013-04-01,Nicholas Wall,ruizchristopher@example.net,99,C
2019-10-10,Selena Decker,angie26@example.org,396,B
2021-10-11,Steven Wyatt,crystalyoung@example.org,25,A
2011-10-22,Patrick King,markdowns@example.org,948,A
2022-02-24,Kathryn Allen,william23@example.net,891,A
2017-08-21,Lori Thompson,rgordon@example.net,469,D
2012-09-07,Evelyn Cunningham,melissa35@example.com,484,D
2015-12-10,Erin Gutierrez,coryjohnson@example.net,565,D
2017-05-16,Gavin Rodriguez,johnwarren@example.com,151,A
2021-10-05,Michael Wilcox,jasonmiller@example.net,144,A
2014-10-13,Anthony Nelson,phillipanderson@example.com,569,D
2018-01-10,Sandra Scott,kennethhunt@example.org,39,D
2019-09-17,Heather Hale,christopheredwards@example.com,109,D
2017-12-13,Karen Charles,burchchristine@example.net,693,C
2017-07-19,Stephanie Diaz,patricia48@example.org,42,B
2020-05-07,Philip Blake,charles55@example.com,186,A
2010-09-15,Amanda Banks,dianehill@example.com,935,B
2013-11-14,Alyssa Jackson,katherine05@example.com,398,D
2020-05-07,Stephanie Brooks DVM,jacob35@example.org,223,D
2018-06-13,Melissa Haley,sawyerlisa@example.org,634,C
2014-07-09,Robert Little,joneskevin@example.org,133,C
2010-10-06,Robert Miller,andrew88@example.net,163,C
2016-03-16,Donna Rodriguez,alisonmorrison@example.net,215,D
2015-09-21,Jennifer Jones,twilcox@example.net,733,D
2012-04-19,Angela Osborne,natalie82@example.com,235,B
2019-02-10,Holly Wilkinson,hnelson@example.org,843,C
2020-07-04,Brian Williams,katrina69@example.net,658,D
2010-09-03,Ebony Davila PhD,robin12@example.com,751,C
2015-01-23,Shannon Cook,carolyn65@example.net,588,D
2022-08-19,Gary Ramsey,karahampton@example.org,9,B
2017-08-17,Barbara Obrien,hannah47@example.net,74,A
2021-07-30,Terry Guzman,mmyers@example.org,954,C
2021-07-10,Andrew Torres,jasonferguson@example.net,492,C
2011-02-17,Tracy Mitchell,kharrison@example.com,913,C
2014-10-26,Mrs. Hannah Dyer,margaretwheeler@example.com,253,B
2018-05-26,Stephanie Schmidt,chandlereric@example.net,230,B
2018-01-13,Laurie Johnson,woodbrittany@example.net,519,B
2010-02-11,Timothy Melendez,wbutler@example.org,174,B
2013-01-09,Alexander Strickland,pjacobs@example.net,653,A
2017-12-23,Linda Holder,hdalton@example.org,168,A
2022-03-29,Scott Banks,steven36@example.net,170,D
2019-11-30,Amy Graham,vanceelizabeth@example.org,393,D
2013-06-20,John Jackson,kevin73@example.com,946,A
2015-02-27,Caroline Wiley,christopherwilliamson@example.com,795,A
2022-11-20,Christopher Fuentes,christina98@example.org,634,A
2018-11-11,Betty Baker,smithjeffrey@example.com,194,D
2019-11-08,Carmen Tucker,kimberlysmall@example.org,517,B
2016-07-09,Patricia Curry,ryan10@example.net,29,A
2019-05-28,Laura Mays,jessicapacheco@example.org,165,D
2022-07-13,Valerie Sims,arojas@example.net,422,A
2018-08-16,Darrell Houston,vgarcia@example.net,339,C
2010-03-07,Ann Cole,rodriguezjustin@example.com,648,D
2017-03-08,Javier Liu,qhernandez@example.com,496,B
2015-07-29,Dale Solis,xjohnson@example.net,365,D
2019-10-23,Michael Bell,miranda69@example.org,833,A
2016-04-05,Doris Edwards,slane@example.com,342,D
2020-02-23,Janet Arnold,holly15@example.net,500,D
2014-04-22,Ronald Dunn,brobinson@example.com,657,A
2020-01-05,Blake Jordan,jacksonjulie@example.com,511,D
2012-10-30,Tracy Simpson,tanyacarter@example.org,327,C
2012-09-22,Michael Rodriguez,lopezshane@example.org,217,A
2011-08-28,Monique Jones,slewis@example.net,301,A
2012-11-14,Mark Griffin,brandonturner@example.com,132,C
2011-11-11,Teresa Colon,janice42@example.org,804,B
2019-12-14,Jeremy Simmons,santanarobert@example.com,70,A
2015-03-08,Kelly Carson,sflores@example.com,252,A
2012-09-26,Joshua Scott,crawfordanthony@example.org,415,C
2010-02-05,Cody Johnson,marcus06@example.net,787,A
2022-12-23,Robert Morales,umoore@example.org,445,C
2013-03-25,Steven Roy,phillipmills@example.net,876,B
2011-06-29,Brandi Day,bchavez@example.com,182,B
2012-07-19,Brian Johns,julieli@example.com,167,C
2018-05-21,James Parker,njohnson@example.org,91,C
2018-10-01,Audrey West,cardenasariel@example.com,714,A
2018-05-03,Kim West,carol93@example.net,858,A
2012-04-17,Thomas Rodriguez,nwaters@example.com,531,C
2018-11-19,Shannon Fuentes,gschmitt@example.com,39,D
2010-04-27,Brianna Thompson,bethanyevans@example.org,126,B
2010-02-27,Patrick Sanchez,nhorn@example.com,451,D
2015-11-15,Amy Francis,victorgarcia@example.net,173,A
2013-04-04,Hannah Bell,qshaw@example.org,653,C
2010-06-27,Nicholas Scott,robertsstephanie@example.org,754,C
2019-02-25,Taylor Horn,aimeekeith@example.com,220,D
2011-04-20,Levi Nunez,ryanberg@example.net,638,D
2014-05-13,Courtney Hernandez,ewarren@example.com,58,A
2017-11-29,Deborah Ortiz,charles26@example.org,660,A
2018-02-08,Todd Kim,laurenlopez@example.com,476,D
2010-10-26,Angela Myers,craigcollins@example.net,456,C
2018-11-19,Charlene Sharp,smaynard@example.org,829,A
2021-08-19,David Harper,qfinley@example.org,895,A
2016-02-12,Eric Thomas,ryanrodriguez@example.net,361,C
2019-04-28,Steven Hanson,nmiranda@example.net,935,B
2011-07-14,Elizabeth Jones,sarah17@example.com,1,C
2020-04-06,Jose Wilcox,ydiaz@example.net,387,C
2010-05-26,Michelle Thompson,myates@example.com,973,C
2011-07-03,Kristen Todd,ztaylor@example.com,348,A
2019-08-05,Kyle Walter,uwest@example.net,190,C
2010-01-05,Lori Rodriguez,ronald15@example.net,505,B
2016-03-25,Angela Ochoa,danielle85@example.org,191,C
2012-02-07,Todd Ortega,hhunter@example.net,508,D
2016-04-01,Jamie Williams,lwarner@example.org,369,C
2013-05-29,Anna Clay,woodarddonna@example.com,409,D
2018-06-29,Matthew Dyer,christopherfarrell@example.com,824,A
2015-01-03,Ashley West,omar34@example.org,929,A
2010-04-13,Elizabeth Griffith,vickibrock@example.net,934,A
2015-10-28,Michele Williams MD,hkim@example.com,117,C
2020-01-28,William Frank,michael97@example.net,134,C
2021-06-15,Thomas Garrett,floresjacob@example.net,58,B
2017-03-28,Stephen Herrera,zcohen@example.net,556,A
2013-04-10,Nancy Smith,dylan28@example.org,685,D
2018-03-26,Jessica Miller,hknox@example.com,672,A
2021-11-01,Jennifer Brown,zfernandez@example.com,173,A
2014-11-18,Douglas Walter Jr.,bryce28@example.net,829,D
2011-06-12,Michael Ward,braunmindy@example.org,815,D
2015-02-15,Thomas Kirk,ericamartinez@example.net,149,A
2017-04-07,Katherine Lucas,murrayamy@example.net,80,A
2012-08-09,Donald Harvey,tyler33@example.com,886,A
2015-11-06,Sarah Yang,garypeters@example.org,213,D
2014-09-10,Benjamin Green,debbiedavis@example.net,203,C
2012-03-03,Joshua Bonilla,ronald89@example.org,764,A
2019-06-09,Rachel Serrano,ian49@example.net,229,B
2021-09-27,Anthony Myers Jr.,gfrancis@example.net,676,B
2019-07-24,Cynthia Fisher,terri17@example.net,227,A
2014-05-19,Juan Alexander,cheyenne29@example.net,659,D
2012-09-03,Jason Aguilar,qgonzalez@example.org,532,A
2018-06-17,Ronald Freeman,julie26@example.net,441,D
2022-01-25,Justin Matthews,christopher74@example.com,402,A
2019-06-29,Mr. Michael Lewis,clarkejonathan@example.com,47,C
2011-10-12,Sarah Garcia,vwilliams@example.com,233,A
2011-03-20,Alan Harris,ymiller@example.com,305,C
2011-12-07,Cody Jones,sspears@example.com,526,A
2017-11-18,Amber Sims,cookdana@example.net,143,B
2020-01-20,Lori Alvarez,cardenassarah@example.net,415,D
2020-04-05,Ebony Arnold,maria82@example.org,513,D
2021-03-22,Evan Young DDS,swansonjacqueline@example.org,373,C
2016-07-04,Penny Page,turnersusan@example.org,566,A
2011-07-05,Jacqueline Mendoza,rsmith@example.net,886,C
2015-01-07,Paul Daniel,ylee@example.org,259,B
2014-07-05,George Thomas,michelle13@example.com,656,B
2022-03-25,Charles Chaney,mark44@example.net,471,B
2017-07-23,Ryan Lopez,cindymartinez@example.org,953,D
2020-06-06,Kathy Wright,michaeltaylor@example.com,971,C
2022-11-26,George Marks,elizabeth55@example.com,12,B
2020-02-02,Jennifer Giles,tlucas@example.net,330,C
2022-06-19,Julie Riley,fcarter@example.net,736,B
2016-01-27,Stephanie Hunt,robert75@example.org,784,B
2018-06-25,Brett Robbins,morganjacqueline@example.net,968,D
2022-05-29,Justin Davis,joel42@example.org,358,B
2010-11-03,Michelle Ford,freemandebra@example.org,972,B
